Disease,Description
Dimorphic hemorrhoids(piles),"Hemorrhoids, also spelled haemorrhoids, are vascular structures in the anal canal. In their normal state, they are cushions that help with stool control. They become pathological or piles when swollen or inflamed. Hemorrhoids can be classified as internal or external depending on their location. Internal hemorrhoids are located above the dentate line and are usually painless but may bleed or prolapse. External hemorrhoids are located below the dentate line and are often painful and prone to thrombosis. Hemorrhoids are caused by increased pressure in the lower rectum due to straining during bowel movements, constipation, diarrhea, pregnancy, obesity, or aging. Hemorrhoids can be diagnosed with physical examination or anoscopy that examines the anal canal. Hemorrhoids can be treated with conservative measures such as dietary fiber, fluids, sitz baths, topical creams, or suppositories. In some cases , surgical procedures such as rubber band ligation , sclerotherapy , infrared coagulation , or hemorrhoidectomy may be required ."
Common Cold,"The common cold is a viral infection of your nose and throat (upper respiratory tract). It's usually harmless, although it might not feel that way. Many types of viruses can cause a common cold. The most common ones are rhinoviruses , which are responsible for about 30% to 50% of colds . Other viruses that can cause colds include coronaviruses , adenoviruses , respiratory syncytial virus , and parainfluenza virus . The common cold is spread by respiratory droplets from coughing , sneezing , or talking , or by direct contact with infected surfaces . The common cold can cause symptoms such as sore throat , runny nose , nasal congestion , sneezing , cough , headache , low-grade fever , and malaise . The common cold usually lasts for about 7 to 10 days . There is no specific treatment for the common cold . The best way to prevent it is to wash your hands frequently and avoid close contact with sick people . You can also boost your immune system by getting enough sleep , drinking plenty of fluids , and eating a balanced diet ."
Chicken pox,"Chickenpox is a highly contagious disease caused by the varicella-zoster virus (VZV). It can cause an itchy, blister-like rash. The rash first appears on the chest, back, and face, and then spreads over the entire body, causing between 250 and 500 itchy blisters."
Cervical spondylosis,"Cervical spondylosis is a general term for age-related wear and tear affecting the spinal disks in your neck. As the disks dehydrate and shrink, signs of osteoarthritis develop, including bony projections along the edges of bones (bone spurs)."
Hyperthyroidism,"Hyperthyroidism (overactive thyroid) occurs when your thyroid gland produces too much of the hormone thyroxine. Hyperthyroidism can accelerate your body's metabolism, causing unintentional weight loss and a rapid or irregular heartbeat."
Varicose veins,"A vein that has enlarged and twisted, often appearing as a bulging, blue blood vessel that is clearly visible through the skin. Varicose veins are most common in older adults, particularly women, and occur especially on the legs."
AIDS,"Acquired immunodeficiency syndrome (AIDS) is a chronic, potentially life-threatening condition caused by the human immunodeficiency virus (HIV). By damaging your immune system, HIV interferes with your body's ability to fight infection and disease."
Paralysis (brain hemorrhage),"Intracerebral hemorrhage (ICH) is when blood suddenly bursts into brain tissue, causing damage to your brain. Symptoms usually appear suddenly during ICH. They include headache, weakness, confusion, and paralysis, particularly on one side of your body."
Typhoid,"An acute illness characterized by fever caused by infection with the bacterium Salmonella typhi. Typhoid fever has an insidious onset, with fever, headache, constipation, malaise, chills, and muscle pain. Diarrhea is uncommon, and vomiting is not usually severe."
Hepatitis B,"Hepatitis B is an infection of your liver. It can cause scarring of the organ, liver failure, and cancer. It can be fatal if it isn't treated. It's spread when people come in contact with the blood, open sores, or body fluids of someone who has the hepatitis B virus."
Fungal infection,"In humans, fungal infections occur when an invading fungus takes over an area of the body and is too much for the immune system to handle. Fungi can live in the air, soil, water, and plants. There are also some fungi that live naturally in the human body. Like many microbes, there are helpful fungi and harmful fungi."
Hepatitis C,"Inflammation of the liver due to the hepatitis C virus (HCV), which is usually spread via blood transfusion (rare), hemodialysis, and needle sticks. The damage hepatitis C does to the liver can lead to cirrhosis and its complications as well as cancer."
Migraine,"A migraine can cause severe throbbing pain or a pulsing sensation, usually on one side of the head. It's often accompanied by nausea, vomiting, and extreme sensitivity to light and sound. Migraine attacks can last for hours to days, and the pain can be so severe that it interferes with your daily activities."
Bronchial Asthma,"Bronchial asthma is a medical condition which causes the airway path of the lungs to swell and narrow. Due to this swelling, the air path produces excess mucus making it hard to breathe, which results in coughing, short breath, and wheezing. The disease is chronic and interferes with daily working."
Alcoholic hepatitis,"Alcoholic hepatitis is a diseased, inflammatory condition of the liver caused by heavy alcohol consumption over an extended period of time. It's also aggravated by binge drinking and ongoing alcohol use. If you develop this condition, you must stop drinking alcohol"
Jaundice,"Yellow staining of the skin and sclerae (the whites of the eyes) by abnormally high blood levels of the bile pigment bilirubin. The yellowing extends to other tissues and body fluids. Jaundice was once called themorbus regiu (the regal disease) in the belief that only the touch of a king could cure it"
Hepatitis E,"A rare form of liver inflammation caused by infection with the hepatitis E virus (HEV). It is transmitted via food or drink handled by an infected person or through infected water supplies in areas where fecal matter may get into the water. Hepatitis E does not cause chronic liver disease.
Dengue,"an acute infectious disease caused by a flavivirus (species Dengue virus of the genus Flavivirus), transmitted by aedes mosquitoes, and characterized by headache, severe joint pain, and a rash. — called also breakbone fever, dengue fever."
Hepatitis D,"Hepatitis D, also known as the hepatitis delta virus, is an infection that causes the liver to become inflamed. This swelling can impair liver function and cause long-term liver problems, including liver scarring and cancer. The condition is caused by the hepatitis D virus (HDV)."
Heart attack,"The death of heart muscle due to the loss of blood supply. The loss of blood supply is usually caused by a complete blockage of a coronary artery, one of the arteries that supplies blood to the heart muscle."
Pneumonia,"Pneumonia is an infection in one or both lungs. Bacteria, viruses, and fungi cause it. The infection causes inflammation in the air sacs in your lungs, which are called alveoli. The alveoli fill with fluid or pus, making it difficult to breathe."
Arthritis, "A condition that causes inflammation or swelling of one or more joints. It can affect any joint in the body but commonly affects the hands knees hips and spine. There are many types of arthritis each with different causes and treatments. Some of the most common types are osteoarthritis rheumatoid arthritis gout and psoriatic arthritis. Arthritis can cause pain stiffness swelling redness and reduced range of motion in the affected joints. It can also affect other parts of the body such as the skin eyes heart and lungs. Arthritis is more common in older adults but can affect people of any age. There is no cure for arthritis but treatments can help manage the symptoms and improve the quality of life."
Sinusitis, "An inflammation or swelling of the tissue lining the sinuses which are cavities in the head that are connected to the nose. Sinusitis can be caused by infections allergies or other factors. Sinusitis can cause symptoms such as nasal congestion runny nose postnasal drainage facial pain pressure or tenderness reduced sense of smell fever headache cough or sore throat. Sinusitis can be acute (lasting less than four weeks) subacute (lasting four to 12 weeks) chronic (lasting more than 12 weeks) or recurrent (having four or more episodes in a year)."
Urinary tract infection, "An infection of any part of the urinary system such as the kidneys bladder ureters or urethra. It is usually caused by bacteria that enter the urinary tract through the urethra. Urinary tract infections can cause symptoms such as burning or pain during urination frequent or urgent urination cloudy or bloody urine lower abdominal pain or pressure fever or back pain. Urinary tract infections are more common in women than men and can be treated with antibiotics. Drinking plenty of fluids and urinating frequently can help prevent urinary tract infections."
Psoriasis, "A chronic skin condition that causes red scaly patches to appear on the skin. It is caused by an overactive immune system that speeds up the growth of skin cells. Psoriasis can affect any part of the body but commonly occurs on the elbows knees scalp and lower back. Psoriasis can cause itching burning cracking or bleeding of the skin. Psoriasis can also affect the nails and joints. Psoriasis is not contagious and has no cure but treatments can help reduce the symptoms and prevent complications."
Kidney stones,"Hard deposits of minerals and salts that form inside the kidneys. They are usually caused by dehydration or an imbalance of substances in the urine. Kidney stones can vary in size and shape and may stay in the kidney or travel down to the bladder or ureter. Kidney stones can cause symptoms such as pain in the lower back or side pain during urination blood in urine nausea vomiting or fever. Kidney stones can sometimes pass on their own or may require medical intervention such as medication shock wave therapy or surgery. Drinking plenty of water and avoiding foods high in oxalate can help prevent kidney stones."
Appendicitis, "An inflammation or infection of the appendix a small pouch attached to the large intestine. It is usually caused by a blockage of the appendix by feces a foreign object or a tumor. Appendicitis can cause symptoms such as pain in the lower right abdomen loss of appetite nausea vomiting fever constipation or diarrhea. Appendicitis is a medical emergency and requires immediate surgery to remove the appendix. If left untreated appendicitis can lead to rupture of the appendix and life-threatening complications such as peritonitis or abscess."
Gallstones, "Solid deposits of cholesterol or bilirubin that form inside the gallbladder a small organ that stores bile produced by the liver. They are usually caused by an imbalance of substances in the bile or a malfunction of the gallbladder. Gallstones can vary in size and number and may stay in the gallbladder or travel to the bile ducts. Gallstones can cause symptoms such as pain in the upper right abdomen pain between shoulder blades pain in right shoulder nausea vomiting dark urine clay-colored stools or jaundice. Gallstones can sometimes dissolve on their own or may require medical treatment such as medication shock wave therapy or surgery. Eating a low-fat diet and maintaining a healthy weight can help prevent gallstones."
Glaucoma, "A group of eye diseases that damage the optic nerve which carries visual information from the eye to the brain. It is usually caused by high pressure inside the eye due to fluid buildup or poor drainage. Glaucoma can affect one or both eyes and may progress slowly or rapidly. Glaucoma can cause symptoms such as blurred vision eye pain headache halos around lights vision loss or blindness. Glaucoma is a leading cause of blindness and has no cure but treatments such as eye drops laser surgery or conventional surgery can help lower the eye pressure and prevent further damage. Regular eye exams and screening tests can help detect glaucoma early and prevent vision loss."
Cataract,"A clouding of the lens of the eye that affects vision. It is usually caused by aging or exposure to ultraviolet light. Cataract can affect one or both eyes and may develop gradually or suddenly. Cataract can cause symptoms such as cloudy vision sensitivity to light difficulty seeing at night double vision fading colors or glare. Cataract is a common cause of vision impairment and can be treated with surgery to replace the cloudy lens with an artificial one. Wearing sunglasses and avoiding smoking can help prevent cataract."
